tensor(22.2801, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.5565, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.4110, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.1027, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.1002, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.0471, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.4389, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.2637, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.8337, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3753, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.6378, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.1496, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3519, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3550, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.6820, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3945, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5400, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.6962, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.1677, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.2402, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.2537, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5228, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.1388, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.4587, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5924, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.4818, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.7416, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.7362, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.6311, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.9266, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.7334, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.6427, device='cuda:0', grad_fn=<NegBackward0>)
tensor(20.7802, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5880, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.1960, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.8749, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.0366, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.9666, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.9761, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.7330, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.4591, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.0744, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.9476, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.1936, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.8424, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.4181, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.0241, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.0345, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.6974, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.2098, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.1536, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.7020, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.4915, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5713, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5657, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3511, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.8531, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.4357, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5491, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.0009, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.8360, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3422, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5228, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.8334, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3734, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.3417, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.4316, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.1218, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.4938, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.4879, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.0537, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.4675, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.6693, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.9326, device='cuda:0', grad_fn=<NegBackward0>)
