tensor(22.7870, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.4705, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.6036, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.8753, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.1779, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.8491, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.5907, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.9834, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.0754, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.1761, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.0367, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.8929, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.0524, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.2756, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.6492, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.2517, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5778, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.8513, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.4971, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.7699, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.7964, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.6307, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5592, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.7592, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.4711, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.6483, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.1925, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5423, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3942, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.8801, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.6725, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5481, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.7610, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5645, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5426, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.8464, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3403, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5643, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5664, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.6219, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5252, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.2309, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.7404, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.6027, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3257, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.8908, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5637, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.7065, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.6757, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.7935, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5551, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.8093, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.6006, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.4220, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3227, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.6618, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.0637, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.0146, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.8646, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.1746, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5012, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.9849, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.9542, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.8069, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3376, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23., device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3934, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5970, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.0791, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3032, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3930, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.6471, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.7083, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.7013, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.6620, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.1360, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.2536, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.2003, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.4571, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.7276, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.9820, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5324, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.0754, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.8138, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5086, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.6421, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.9020, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5464, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.8863, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.8407, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.6636, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.4193, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.2889, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.9258, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3764, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.8775, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5479, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.0751, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.5837, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.2922, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.7016, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3243, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.4086, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5754, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.9037, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.4466, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3237, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.1877, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.2012, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.9247, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.8081, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.4556, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.1517, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.1437, device='cuda:0', grad_fn=<NegBackward0>)
