tensor(23.4234, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.7141, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.7320, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.6961, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.8089, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.1534, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.4097, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.7114, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.7752, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.5540, device='cuda:0', grad_fn=<NegBackward>)
tensor(24.0487, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.2006, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.4755, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.6084, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.8266, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.9331, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.7529, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.2828, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.8395, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.0180, device='cuda:0', grad_fn=<NegBackward>)
tensor(24.1678, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.8500, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.8553, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.0990, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.5308, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.7218, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.3211, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.1149, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.5405, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.2166, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.8980, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.8224, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.3505, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.1476, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.2015, device='cuda:0', grad_fn=<NegBackward>)
tensor(24.0358, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.9762, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.7473, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.6246, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.7444, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.8253, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.3345, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.2885, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.2510, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.1872, device='cuda:0', grad_fn=<NegBackward>)
tensor(24.0297, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.4239, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.0587, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.8857, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.7708, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.3478, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.0438, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.3977, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.4141, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.1065, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.6383, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.5477, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.4354, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.7338, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.4449, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.7999, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.9146, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.2213, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.9921, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.0602, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.2494, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.2395, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.3192, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.0860, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.9387, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.4177, device='cuda:0', grad_fn=<NegBackward>)
