tensor(23.0019, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.4280, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3454, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.0759, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.5993, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.0739, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.9073, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.9980, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.0853, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.8570, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.4021, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3150, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.3791, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.2954, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.7129, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.0197, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.3318, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.9696, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.7201, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.9768, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.4460, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.9417, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.8868, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.8358, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.2195, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.1628, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.2292, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.9816, device='cuda:0', grad_fn=<NegBackward0>)
tensor(24.0242, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.5674, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.4504, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.1811, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.9698, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.6935, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.6586, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.6284, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.6788, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.2874, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.2947, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.8318, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.8286, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.1605, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.9342, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.1863, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.8420, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.9522, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.7394, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.6893, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.9812, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.1185, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.5350, device='cuda:0', grad_fn=<NegBackward0>)
tensor(24.2647, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.1934, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.3088, device='cuda:0', grad_fn=<NegBackward0>)
