tensor(257.4357, device='cuda:0', grad_fn=<NegBackward0>)
tensor(199.5457, device='cuda:0', grad_fn=<NegBackward0>)
tensor(138.4601, device='cuda:0', grad_fn=<NegBackward0>)
tensor(139.9771, device='cuda:0', grad_fn=<NegBackward0>)
tensor(135.6158, device='cuda:0', grad_fn=<NegBackward0>)
tensor(120.0107, device='cuda:0', grad_fn=<NegBackward0>)
tensor(129.9430, device='cuda:0', grad_fn=<NegBackward0>)
tensor(129.1096, device='cuda:0', grad_fn=<NegBackward0>)
tensor(129.9674, device='cuda:0', grad_fn=<NegBackward0>)
tensor(121.3424, device='cuda:0', grad_fn=<NegBackward0>)
tensor(119.8233, device='cuda:0', grad_fn=<NegBackward0>)
tensor(117.2913, device='cuda:0', grad_fn=<NegBackward0>)
tensor(114.0927, device='cuda:0', grad_fn=<NegBackward0>)
tensor(112.5019, device='cuda:0', grad_fn=<NegBackward0>)
tensor(109.1943, device='cuda:0', grad_fn=<NegBackward0>)
tensor(106.7523, device='cuda:0', grad_fn=<NegBackward0>)
tensor(108.9374, device='cuda:0', grad_fn=<NegBackward0>)
tensor(103.1053, device='cuda:0', grad_fn=<NegBackward0>)
tensor(105.2088, device='cuda:0', grad_fn=<NegBackward0>)
tensor(102.6083, device='cuda:0', grad_fn=<NegBackward0>)
tensor(101.3115, device='cuda:0', grad_fn=<NegBackward0>)
tensor(98.0892, device='cuda:0', grad_fn=<NegBackward0>)
tensor(99.3388, device='cuda:0', grad_fn=<NegBackward0>)
tensor(95.9038, device='cuda:0', grad_fn=<NegBackward0>)
tensor(94.5451, device='cuda:0', grad_fn=<NegBackward0>)
tensor(93.1964, device='cuda:0', grad_fn=<NegBackward0>)
tensor(91.9780, device='cuda:0', grad_fn=<NegBackward0>)
tensor(94.1480, device='cuda:0', grad_fn=<NegBackward0>)
tensor(92.7402, device='cuda:0', grad_fn=<NegBackward0>)
tensor(89.8636, device='cuda:0', grad_fn=<NegBackward0>)
tensor(90.9001, device='cuda:0', grad_fn=<NegBackward0>)
tensor(91.0946, device='cuda:0', grad_fn=<NegBackward0>)
tensor(86.1475, device='cuda:0', grad_fn=<NegBackward0>)
tensor(86.3739, device='cuda:0', grad_fn=<NegBackward0>)
tensor(87.9268, device='cuda:0', grad_fn=<NegBackward0>)
tensor(89.6438, device='cuda:0', grad_fn=<NegBackward0>)
tensor(86.8975, device='cuda:0', grad_fn=<NegBackward0>)
tensor(84.7354, device='cuda:0', grad_fn=<NegBackward0>)
tensor(83.9268, device='cuda:0', grad_fn=<NegBackward0>)
tensor(81.8036, device='cuda:0', grad_fn=<NegBackward0>)
tensor(81.4852, device='cuda:0', grad_fn=<NegBackward0>)
tensor(82.4411, device='cuda:0', grad_fn=<NegBackward0>)
